Data Check  ·  25 Aug 2026  ·  history checks: all rows; cross-source: yieldz protocol data + on-chain reads,,,,,,,,,,,
Tab,Farm,Chain,Protocol,APY Now,7d,Verdict,Cross-Source APY,Source,Flags,Risk,Risk Basis
ETH Farms,TESS cbETH (Base) Loop Vault,Base,Fusion by IPOR,16.70965,17.28869,FLAGGED,-8.285,ipor-api,MISMATCH(source -8.29),Med-High (4.8),"score 4.8; CBETH 8.3*; allocation leg 8.5 (aave-v3 8.5†@100%, cbETH 8.3*@0%); -2 red flags; -1 leveraged strategy; -0.5 concentrated book 100%"
USD Farms,reUSD/sfrxUSD,Ethereum,Curve DEX,10.90623,8.8589,FLAGGED,7.238,curve-api (total),MISMATCH(curve total 7.24),High (2.7),"score 2.7; REUSD 5.2 (pharos 5.1, tid 6.0, yearn 4.0); FRXUSD 6.1 (pharos 6.9, tid 5.5); worst leg: REUSD; -2 red flags; -0.5 pool 76% in reUSD"
USD Farms,SRMHYPER,Ethereum,Strata Markets,10.89216,6.6616,FLAGGED,6.698,strata on-chain lens,MISMATCH(source 6.70),High (3.1),"score 3.1; MHYPER 5.6 (pharos 4.9, yearn 6.4); -2 red flags; -1 tvl<1M; +0.5 senior tranche buffer"
USD Farms,PT Ethena sUSDE 22OCT2026,Monad,Pendle,8.91419,8.81419,FLAGGED,4.822,pendle-api,MISMATCH(source 4.82),High (3.5),"score 3.5; SUSDE 6.0 (pharos 5.5, tid 6.5); -2 red flags; -0.5 PT wrapper"
USD Farms,PT Ethena sUSDE 22OCT2026,Plasma,Pendle,8.762789999999999,8.63468,FLAGGED,4.822,pendle-api,MISMATCH(source 4.82),High (3.5),"score 3.5; SUSDE 6.0 (pharos 5.5, tid 6.5); -2 red flags; -0.5 PT wrapper"
USD Farms,For buying PT-sUSDe-26NOV2026,Ethereum,Pendle,8.73432,8.51041,FLAGGED,4.636,pendle-api,MISMATCH(source 4.64),High (2.5),"score 2.5; SUSDE 6.0 (pharos 5.5, tid 6.5); -2 red flags; -0.5 PT wrapper; -0.5 tenor 93d; -0.5 PT liquidity <5M"
USD Farms,USD3/frxUSD,Ethereum,Curve DEX,8.70406,8.63508,FLAGGED,6.092,curve-api (total),MISMATCH(curve total 6.09); REWARD-HEAVY(emissions 6.0 of 8.7 unverified),High (2.5),"score 2.5; FRXUSD 6.1 (pharos 6.9, tid 5.5); USD3 5.0 (pharos 7.2, tid 3.5, yearn 4.4); worst leg: USD3; -2 red flags; -0.5 pool 76% in frxUSD"
USD Farms,FRXUSD-SGHO,Ethereum,Curve DEX,8.62357,8.32099,FLAGGED,5.058,curve-api (total),MISMATCH(curve total 5.06),High (3.1),"score 3.1; FRXUSD 6.1 (pharos 6.9, tid 5.5); SGHO 7.2 (pharos 6.5, yearn 8.0); worst leg: FRXUSD; -2 red flags; -1 tvl<1M"
USD Farms,For buying PT-sUSDS-26NOV2026,Ethereum,Pendle,8.4858,8.40468,FLAGGED,4.966,pendle-api,MISMATCH(source 4.97),Med-High (4.1),"score 4.1; SUSDS 7.6 (pharos 7.8, tid 7.5); -2 red flags; -0.5 PT wrapper; -0.5 tenor 93d; -0.5 PT liquidity <5M"
USD Farms,BBQAUSD,Ethereum,Morpho Blue,8.42702,4.75805,FLAGGED,3.743,yieldz,MISMATCH(source 3.74),Med-High (4.3),"score 4.3; allocation leg 6.8 (syrupUSDC 6.8@100%, wstETH 8.5*@0%, AA_FalconXUSDC 5.8@0%, reUSD 5.2@0%, wsrUSD 4.5@0%, sUSDe 6.0@0%, stcUSD 7.4@0%, PT-USDG-28MAY2026→USDG 6.8@0%, PT-stcUSD-23JUL2026→stcUSD 6.9@0%); -2 red flags; -0.5 concentrated book 100%"
USD Farms,FRXUSD-SUSDE,Ethereum,Curve DEX,7.76058,7.94542,FLAGGED,5.116,curve-api (total),MISMATCH(curve total 5.12),High (3.0),"score 3.0; FRXUSD 6.1 (pharos 6.9, tid 5.5); SUSDE 6.0 (pharos 5.5, tid 6.5); worst leg: SUSDE; -2 red flags; -1 tvl<1M"
ETH Farms,TAU cbETH Dynamic Looping,Base,Fusion by IPOR,7.688120000000001,9.7828,FLAGGED,-7.997,ipor-api,MISMATCH(source -8.00),Med-High (5.3),"score 5.3; CBETH 8.3*; allocation leg 8.3 (aave-v3 8.5†@80%, cbETH 8.3*@11%, euler?0x60c61a 6.0†@8%, cbETH 8.3*@0%, euler?0x358f25 6.0†@0%, cbETH 8.3*@0%); allocation leg governs; -2 red flags; -1 leveraged strategy"
USD Farms,SRUSDE,Ethereum,Strata Markets,7.61558,4.08754,FLAGGED,3.698,strata on-chain lens,MISMATCH(source 3.70),Med-High (5.3),"score 5.3; USDE 6.8 (pharos 7.2, tid 6.5); -2 red flags; +0.5 senior tranche buffer"
USD Farms,PT USDai 15OCT2026,Arbitrum,Pendle,7.10679,7.01015,FLAGGED,10.315,pendle-api,MISMATCH(source 10.31),Med-High (4.2),"score 4.2; USDAI 6.7 (pharos 7.0, tid 6.5); -2 red flags; -0.5 PT wrapper"
USD Farms,Base USDC Lending Optimizer,Base,Fusion by IPOR,7.02289,7.02877,FLAGGED,4.927,ipor-api,MISMATCH(source 4.93),Med-High (5.3),"score 5.3; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); allocation leg 7.3 (cbBTC 8.5*@70%, cbDOGE unrated@20%, USDC 9.0@0%); allocation leg governs; -2 red flags"
USD Farms,PT USDat 27AUG2026,Ethereum,Pendle,6.77921,6.60763,FLAGGED,207.652,pendle-api,MISMATCH(source 207.65),High (3.1),"score 3.1; USDAT 5.6 (pharos 6.1, tid 4.5, yearn 6.8); -2 red flags; -0.5 PT wrapper"
ETH Farms,Fusion stETH looping Ethereum,Ethereum,Fusion by IPOR,6.497710000000001,6.70279,FLAGGED,4.185,ipor-api,MISMATCH(source 4.18),Med-High (5.3),"score 5.3; STETH 9.5 (credora 9.5); allocation leg 8.3 (spark-lend 8.2†@54%, aave-v3 8.5†@32%, wstETH 8.5*@9%, wstETH 8.5*@3%, stETH 9.5@0%, stETH 9.5@0%); allocation leg governs; -2 red flags; -1 leveraged strategy"
USD Farms,yoUSD Looopeer,Base,Fusion by IPOR,6.46767,6.49194,FLAGGED,4.008,ipor-api,MISMATCH(source 4.01),High (3.0),"score 3.0; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); allocation leg 7.5 (yoUSD 7.5@100%, USDC 9.0@0%, USDC 9.0@0%); allocation leg governs; -2 red flags; -1 tvl<1M; -1 leveraged strategy; -0.5 concentrated book 100%"
USD Farms,PT Saturn USD 27AUG2026,BSC,Pendle,6.32988,6.19219,FLAGGED,207.652,pendle-api,MISMATCH(source 207.65),High (1.6),"score 1.6; USDAT 5.6 (pharos 6.1, tid 4.5, yearn 6.8); -2 red flags; -1 tvl<1M; -0.5 PT wrapper; -0.5 PT liquidity <5M"
USD Farms,CSUSDC,Ethereum,Morpho Blue,6.11723,6.18397,FLAGGED,4.208,yieldz,MISMATCH(source 4.21),Med-Low (6.0),"score 6.0; allocation leg 8.5 (WBTC 8.5*@90%, cbBTC 8.5*@9%, wstETH 8.5*@0%); credora vault A (psl 0.36%); allocation leg governs; -2 red flags; -0.5 concentrated book 90%"
USD Farms,Apyx apxUSD,Ethereum,Morpho Blue,6.01794,6.49125,FLAGGED,8.209,yieldz,MISMATCH(source 8.21),High (0.5),"score 0.5; allocation leg 1.4 (PT-apyUSD-5NOV2026→apyUSD 1.4@95%, PT-apxUSD-5NOV2026→apxUSD 1.8@4%, PT-apyUSD-18JUN2026→apyUSD 1.4@0%, apyUSD 1.9@0%, PT-apxUSD-18JUN2026→apxUSD 1.8@0%); -2 red flags; -1 util 100%; -0.5 concentrated book 95%"
USD Farms,SaveDola,Ethereum,Curve DEX,5.95903,6.54793,FLAGGED,1.508,curve-api (total),MISMATCH(curve total 1.51),High (2.4),"score 2.4; CRVUSD 5.8 (pharos 7.3, tid 4.5); SDOLA 4.9 (pharos 5.4, tid 4.5); worst leg: SDOLA; -2 red flags; -0.5 pool 79% in sDOLA"
USD Farms,frxUSD/sDOLA,Ethereum,Curve DEX,5.7196,5.95312,FLAGGED,1.357,curve-api (total),MISMATCH(curve total 1.36),High (1.4),"score 1.4; FRXUSD 6.1 (pharos 6.9, tid 5.5); SDOLA 4.9 (pharos 5.4, tid 4.5); worst leg: SDOLA; -2 red flags; -1 tvl<1M; -0.5 pool 78% in sDOLA"
USD Farms,Fluid USD Coin,Arbitrum,Fluid Lending,5.45,4.7,FLAGGED,7.962,yieldz,MISMATCH(source 7.96),High (3.5),"score 3.5; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); collateral leg 5.5 (sUSDai 5.5@100%); collateral leg governs; -2 red flags"
USD Farms,BBQUSDT,Ethereum,Morpho Blue,5.14207,4.47724,FLAGGED,2.501,yieldz,MISMATCH(source 2.50),Med-Low (6.5),"score 6.5; allocation leg 8.5 (wstETH 8.5*@82%, WBTC 8.5*@16%, cbBTC 8.5*@3%); -2 red flags"
USD Farms,BBQUSDC,Ethereum,Morpho Blue,4.94306,5.26283,FLAGGED,7.105,yieldz,MISMATCH(source 7.10),High (1.5),"score 1.5; BBQUSDC 8.3 (pharos 8.3); allocation leg 4.5 (dCOMP unrated@72%, cbBTC 8.5*@28%); allocation leg governs; -2 red flags; -1 util 94%"
USD Farms,PT Saturn USD 27AUG2026,Monad,Pendle,4.83656,5.42116,FLAGGED,207.652,pendle-api,MISMATCH(source 207.65),High (2.6),"score 2.6; USDAT 5.6 (pharos 6.1, tid 4.5, yearn 6.8); -2 red flags; -0.5 PT wrapper; -0.5 PT liquidity <5M"
USD Farms,Fluid Gho Token,Arbitrum,Fluid Lending,4.75,4.92857,FLAGGED,0.02,yieldz,MISMATCH(source 0.02),Med-High (5.0),score 5.0; GHO 7.0 (pharos 7.0); collateral leg 8.5 (WBTC 8.5*@100%); -2 red flags
USD Farms,USDS/stUSDS,Ethereum,Curve DEX,4.6762,4.6321,FLAGGED,1.536,curve-api (total),MISMATCH(curve total 1.54),Med-High (5.4),"score 5.4; USDS 8.3 (credora 8.4, pharos 8.0, tid 7.5, yearn 9.6); STUSDS 7.4 (pharos 7.4); worst leg: STUSDS; -2 red flags"
USD Farms,GTUSDCP,Arbitrum,Morpho Blue,4.30685,3.95146,FLAGGED,8.154,yieldz,MISMATCH(source 8.15),Med-High (5.4),"score 5.4; GTUSDCP 8.4 (pharos 8.4); allocation leg 8.6 (WBTC 8.5*@56%, wstETH 8.5*@33%, WETH 9.0*@11%, sUSDS 7.6@0%); -2 red flags; -1 tvl<1M"
USD Farms,OEVUSDC,Ethereum,Morpho Blue,4.19069,4.22018,FLAGGED,8.765,yieldz,MISMATCH(source 8.77),High (0.5),"score 0.5; allocation leg 3.0 (mM1-USD unrated@100%, cbBTC 8.5*@0%); credora vault A- (psl 0.45%); allocation leg governs; -2 red flags; -0.5 concentrated book 100%"
USD Farms,CRONOSUSDC,Ethereum,Morpho Blue,4.18844,4.16252,FLAGGED,6.191,yieldz,MISMATCH(source 6.19),High (1.0),"score 1.0; allocation leg 4.0 (PT-sUSDat-27AUG2026→sUSDat 3.0@51%, PT-USDat-27AUG2026→USDat 5.1@44%, PT-sUSDat-14JAN2027→sUSDat 3.0@2%, sUSDat 3.5@1%, PT-USDat-14JAN2027→USDat 5.1@1%); -2 red flags; -1 util 100%"
USD Farms,alUSD/sDOLA,Ethereum,Curve DEX,4.15797,3.67904,FLAGGED,2.703,curve-api (total),MISMATCH(curve total 2.70),High (0.5),"score 0.5; SDOLA 4.9 (pharos 5.4, tid 4.5); ALUSD 2.7 (pharos 2.7); worst leg: ALUSD; -2 red flags; -1 tvl<1M; -1 pool 87% in alUSD"
USD Farms,VBSHUSDC,Ethereum,Morpho Blue,3.98397,4.00788,FLAGGED,6.301,yieldz,MISMATCH(source 6.30),High (0.5),score 0.5; allocation leg 3.0 (PST unrated@100%); credora vault A (psl 0.35%); allocation leg governs; -2 red flags; -0.5 concentrated book 100%
USD Farms,sfrxUSD/frxUSD,Ethereum,Curve DEX,3.89732,3.35341,FLAGGED,0.889,curve-api (total),MISMATCH(curve total 0.89),Med-High (4.1),"score 4.1; FRXUSD 6.1 (pharos 6.9, tid 5.5); FRXUSD 6.1 (pharos 6.9, tid 5.5); -2 red flags"
USD Farms,GTUSDCB,Arbitrum,Morpho Blue,3.69852,4.41721,FLAGGED,6.856,yieldz,MISMATCH(source 6.86),Med-High (4.2),"score 4.2; allocation leg 8.2 (WBTC 8.5*@43%, wstETH 8.5*@41%, PT-USDai-18JUN2026→USDai 6.2@15%, syrupUSDC 6.8@0%, sUSDS 7.6@0%); -2 red flags; -1 tvl<1M; -1 util 100%"
USD Farms,HYPERUSDCA,Arbitrum,Morpho Blue,3.64787,3.55732,FLAGGED,8.154,yieldz,MISMATCH(source 8.15),Med-High (5.6),"score 5.6; allocation leg 8.6 (WBTC 8.5*@56%, wstETH 8.5*@33%, WETH 9.0*@11%, sUSDS 7.6@0%); -2 red flags; -1 tvl<1M"
USD Farms,BITGETUSDC,Arbitrum,Morpho Blue,3.64125,3.35012,FLAGGED,7.179,yieldz,MISMATCH(source 7.18),Med-High (4.8),"score 4.8; allocation leg 7.8 (weETH 7.0@50%, WBTC 8.5*@21%, wstETH 8.5*@16%, WETH 9.0*@10%); -2 red flags; -1 util 96%"
USD Farms,SDFRXUSDV2,Ethereum,Morpho Blue,3.6235,3.72279,FLAGGED,5.48,yieldz,MISMATCH(source 5.48),High (0.5),"score 0.5; allocation leg 3.0 (stakedao-frxsUSDS unrated@42%, stakedao-crvfrxUSD unrated@32%, stakedao-frxUsDOLA unrated@26%); -2 red flags; -1 tvl<1M; -1 util 100%"
USD Farms,Curve.fi Strategic USD Reserves,Ethereum,Curve DEX,3.61342,3.00275,FLAGGED,2.232,curve-api (total),MISMATCH(curve total 2.23),Med-High (5.1),"score 5.1; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); USDT 7.1 (credora 8.4, pharos 6.0, tid 7.0); worst leg: USDT; -2 red flags"
USD Farms,HUSDC,Ethereum,Morpho Blue,3.5485,3.57469,FLAGGED,6.116,yieldz,MISMATCH(source 6.12),High (2.2),"score 2.2; allocation leg 4.2 (PT-reUSD-10DEC2026→reUSD 4.7@53%, PST unrated@27%, mF-ONE 4.8@14%); -2 red flags"
USD Farms,GTUSDTF,Ethereum,Morpho Blue,3.53004,3.4979,FLAGGED,2.502,yieldz,MISMATCH(source 2.50),Med-High (5.4),"score 5.4; allocation leg 8.4 (WBTC 8.5*@88%, sUSDS 7.6@10%, cbBTC 8.5*@1%, weETH 7.0@1%, WETH 9.0*@0%, syrupUSDT 5.5@0%, wsrUSD 4.5@0%, sUSDD 4.1@0%, wstETH 8.5*@0%); credora vault B+ (psl 0.94%); -2 red flags"
USD Farms,UNIUSDT,Ethereum,Morpho Blue,3.42473,3.44172,FLAGGED,2.501,yieldz,MISMATCH(source 2.50),Med-Low (6.4),"score 6.4; allocation leg 8.4 (wstETH 8.5*@59%, WBTC 8.5*@31%, sUSDS 7.6@10%, cbBTC 8.5*@0%); -2 red flags"
USD Farms,GUSDTQ,Ethereum,Morpho Blue,3.37877,3.41053,FLAGGED,2.501,yieldz,MISMATCH(source 2.50),Med-Low (6.5),"score 6.5; allocation leg 8.5 (wstETH 8.5*@82%, WBTC 8.5*@16%, cbBTC 8.5*@3%); -2 red flags"
USD Farms,Fluid Gho Token,Base,Fluid Lending,3.36,3.47714,FLAGGED,0,yieldz,MISMATCH(source 0.00),Med-High (4.0),score 4.0; GHO 7.0 (pharos 7.0); collateral leg 8.5 (cbBTC 8.5*@100%); -2 red flags; -1 tvl<1M
USD Farms,GTUSDTF,Ethereum,Morpho Blue,3.35727,3.38838,FLAGGED,2.501,yieldz,MISMATCH(source 2.50),Med-High (5.4),"score 5.4; allocation leg 8.4 (wstETH 8.5*@59%, WBTC 8.5*@31%, sUSDS 7.6@10%, cbBTC 8.5*@0%); credora vault B+ (psl 0.94%); -2 red flags"
USD Farms,Fluid EURC,Base,Fluid Lending,3.31,3.30429,FLAGGED,0,yieldz,MISMATCH(source 0.00),Med-Low (6.3),score 6.3; EURC 8.3 (pharos 8.3); collateral leg 8.5 (cbBTC 8.5*@100%); -2 red flags
USD Farms,vbUSDC yVault,Katana,Yearn Finance,3.26208,4.13906,FLAGGED,2.05,ydaemon,MISMATCH(source 2.05),High (3.9),"score 3.9; strategy book leg 5.9 (Morpho Yearn OG ~USDC 6.5†@55%, Single Sided Steer LP vbUS unrated@17%, Morpho Yearn Deg~USDC 6.5†@10%, Morpho V2 Steakhouse H[steakhouse hig] 6.2†@10%, Morpho Steakhous~USDC 6.5†@6%, Single Sided Ste~AUSD 6.1†@1%); -2 red flags"
ETH Farms,AWETH,Ethereum,Morpho Blue,2.81294,2.80492,FLAGGED,1.687,yieldz,MISMATCH(source 1.69),Med-High (6.0),"score 6.0; allocation leg 8.5 (wstETH 8.5*@100%, weETH 7.0@0%, wstETH 8.5*@0%, cbBTC 8.5*@0%, WBTC 8.5*@0%, LBTC 7.5*@0%); -2 red flags; -0.5 concentrated book 100%"
ETH Farms,TESS wstETH Debt Vault LO,Ethereum,Fusion by IPOR,2.61266,2.83357,FLAGGED,0.336,ipor-api,MISMATCH(source 0.34),High (3.6),"score 3.6; WSTETH 8.5*; allocation leg 6.6 (wstETH 8.5*@66%, ipor-plasma-vault unrated@34%, wstETH 8.5*@0%); allocation leg governs; -2 red flags; -1 tvl<1M"
ETH Farms,Base cbETH Loooper,Base,Fusion by IPOR,2.54138,5.81326,FLAGGED,-3.647,ipor-api,MISMATCH(source -3.65),Med-High (5.4),"score 5.4; WETH 9.0*; allocation leg 8.4 (aave-v3 8.5†@84%, cbETH 8.3*@11%, euler?0x60c61a 6.0†@4%, WETH 9.0*@1%, cbETH 8.3*@0%, WETH 9.0*@0%); allocation leg governs; -2 red flags; -1 leveraged strategy"
ETH Farms,WSTETH-RETH-SFRXETH,Ethereum,Curve DEX,2.51,2.54286,FLAGGED,0.038,on-chain (curve vp 7d),NOT-ACCRUING(realized 0.04 vs quoted 2.51),Med-High (5.0),score 5.0; WSTETH 8.5*; RETH 8.3*; SFRXETH 8.0*; worst leg: SFRXETH; -2 red flags; -1 tvl<1M
ETH Farms,WSTETH-RETH-SFRXETH,Ethereum,Convex Finance,2.51,2.54286,FLAGGED,0.038,on-chain (curve vp 7d),NOT-ACCRUING(realized 0.04 vs quoted 2.51),Med-High (5.0),score 5.0; WSTETH 8.5*; RETH 8.3*; SFRXETH 8.0*; worst leg: SFRXETH; -2 red flags; -1 tvl<1M
ETH Farms,TAU infiniFi ETH Carry,Ethereum,Fusion by IPOR,2.28608,2.2862,FLAGGED,0.003,ipor-api,MISMATCH(source 0.00),Med-High (5.0),"score 5.0; WSTETH 8.5*; allocation leg 8.5 (wstETH 8.5*@100%, wstETH 8.5*@0%); -2 red flags; -1 tvl<1M; -0.5 concentrated book 100%"
ETH Farms,WSTETH,Arbitrum,Fluid Lending,2.285,2.285,FLAGGED,3.836,yieldz,SELF-REPORTED(flat 30d history); MISMATCH(source 3.84),High (0.5),score 0.5; WSTETH 8.5*; collateral leg 3.0 (weETH-ETH unrated@100%); collateral leg governs; -2 red flags; -2 self-reported
ETH Farms,WSTETH,Arbitrum,Fluid Lending,2.285,2.285,FLAGGED,3.836,yieldz,SELF-REPORTED(flat 30d history); MISMATCH(source 3.84),High (0.5),score 0.5; WSTETH 8.5*; collateral leg 3.0 (weETH-ETH unrated@100%); collateral leg governs; -2 red flags; -2 self-reported; -1 tvl<1M
ETH Farms,IPOR WstETH Base,Base,Fusion by IPOR,2.285,4.25973,FLAGGED,-5.368,ipor-api,MISMATCH(source -5.37),Med-High (4.5),"score 4.5; WSTETH 8.5*; allocation leg 8.5 (aave-v3 8.5†@53%, wstETH 8.5*@45%, wstETH 8.5*@1%, WStETH 8.5*@0%, euler?0x7b181d 6.0†@0%); allocation leg governs; -2 red flags; -1 tvl<1M; -1 leveraged strategy"
USD Farms,JRUSDE,Ethereum,Strata Markets,0,7.01936,FLAGGED,4.699,strata on-chain lens,MISMATCH(source 4.70),High (3.3),"score 3.3; USDE 6.8 (pharos 7.2, tid 6.5); -2 red flags; -1.5 junior tranche (first loss)"
USD Farms,CL1 - 0.007%,Base,Aerodrome Slipstream,56.45913,63.55365,CAUTION,,,REWARD-HEAVY(emissions 56.5 of 56.5 unverified),Med-Low (7.3),"score 7.3; EURC 8.3 (pharos 8.3); USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); worst leg: EURC; -1 tvl<1M"
USD Farms,0.05%,Ethereum,Uniswap V4,45.83376,19.3756,CAUTION,,,SPIKE(30d avg 8.3),High (1.3),"score 1.3; APXUSD 2.3 (pharos 0.5, tid 3.0, yearn 3.6); USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); worst leg: APXUSD; -1 tvl<1M"
ETH Farms,CL50 - 0.05%,Base,Aerodrome Slipstream,40.49035,70.97007,CAUTION,,,REWARD-HEAVY(emissions 40.5 of 40.5 unverified),High (3.0),score 3.0; WETH 9.0*; MSETH unrated 3.0; worst leg: MSETH
USD Farms,CL50 - 0.05%,Base,Aerodrome Slipstream,40.20529,44.84611,CAUTION,,,REWARD-HEAVY(emissions 40.2 of 40.2 unverified),High (1.6),"score 1.6; MSUSD 1.6 (pharos 1.6); USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); worst leg: MSUSD"
USD Farms,Curve,Ethereum,Stake DAO,20.88366,,CAUTION,18.642,curve-api (total),NEW(6d history),High (2.0),"score 2.0; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); EVAUSDC unrated 3.0; worst leg: EVAUSDC; -1 tvl<1M"
