"Looping Opportunities  ·  yieldz.io/leverage, 5 Sep 2026  ·  180 positive-carry loops",,,,,,,,,,,,,,
Asset,Protocol,Chain,Deposit,Borrow,Max Leverage,Max ROE,Deposit APY,Borrow APY,Risk,Liquidity ($),To-Target Util ($),Utilization (%),LLTV (%),Risk Note
ETH,Morpho,Ethereum,wstETH,WETH,29.21,10.4309,2.25,-1.96,Med-High,8430000,137560,89.83,96.5,score 4.0; wstETH 8.5*; WETH 9.0*; Morpho 6.5†; -1.5 leverage 29.21x; -1 lltv 96%; yieldz label: Low
ETH,Aave V4 · Etherfi,Ethereum,weETH,WETH,22.19,12.2793,2.32,-1.85,Med-High,6390000,0,92.33,95.5,score 4.0; weETH 7.0; WETH 9.0*; Aave V4 · Etherfi 8.5†; -1.5 leverage 22.19x; -0.5 lltv 96%; -1 util 92%; yieldz label: Med.
ETH,Fluid,Arbitrum,wstETH,ETH,20.11,5.6798,2.24,-2.06,Med-Low,3320000,3270000,56.54,95,score 6.0; wstETH 8.5*; ETH 8.4; Fluid 8.0†; -1.5 leverage 20.11x; -0.5 lltv 95%; yieldz label: Low
ETH,Morpho,Ethereum,wstETH,WETH,18.53,8.9114,2.25,-1.87,Med-High,3210000,293800,88.99,94.5,score 4.5; wstETH 8.5*; WETH 9.0*; Morpho 6.5†; -1.5 leverage 18.53x; -0.5 lltv 94%; yieldz label: Low
ETH,Morpho,Monad,wstETH,WETH,18.49,10.1205,2.25,-1.8,Med-High,4430000,72840,90.16,94.5,score 4.5; wstETH 8.5*; WETH 9.0*; Morpho 6.5†; -1.5 leverage 18.49x; -0.5 lltv 94%; yieldz label: Med.
ETH,Morpho,Base,weETH,WETH,18.29,13.0198,2.3,-1.68,High,148360,17730,88.64,94.5,score 3.5; weETH 7.0; WETH 9.0*; Morpho 6.5†; -1.5 leverage 18.29x; -0.5 lltv 94%; -1 exit liquidity <1M; yieldz label: Med.
ETH,Morpho,Base,wstETH,WETH,18.27,11.7485,2.25,-1.7,High,690150,16060,89.76,94.5,score 3.5; wstETH 8.5*; WETH 9.0*; Morpho 6.5†; -1.5 leverage 18.27x; -0.5 lltv 94%; -1 exit liquidity <1M; yieldz label: Med.
ETH,Morpho,Optimism,wstETH,WETH,18.26,26.5866,2.25,-0.84,High,298740,201190,69.37,94.5,score 3.5; wstETH 8.5*; WETH 9.0*; Morpho 6.5†; -1.5 leverage 18.26x; -0.5 lltv 94%; -1 exit liquidity <1M; yieldz label: Low
ETH,Morpho,World Chain,ezETH,WETH,18.17,52.823,3.03,-0.13,High,129210,6015.6,89.51,94.5,score 3.5; ezETH 7.5*; WETH 9.0*; Morpho 6.5†; -1.5 leverage 18.17x; -0.5 lltv 94%; -1 exit liquidity <1M; yieldz label: Med.
ETH,Morpho,Ethereum,weETH,WETH,18,8.42,2.3,-1.94,Med-High,1680000,13340,90.08,94.5,score 4.5; weETH 7.0; WETH 9.0*; Morpho 6.5†; -1.5 leverage 18x; -0.5 lltv 94%; yieldz label: Med.
ETH,Fluid,Arbitrum,weETH,wstETH,18,2.66,2.32,-2.3,Med-High,2450000,12390000,90.04,94,score 5.5; weETH 7.0; wstETH 8.5*; Fluid 8.0†; -1.5 leverage 18x; yieldz label: Med.
ETH,Aave V3,Arbitrum,wstETH,WETH,16.89,6.6892,2.24,-1.96,Med-Low,31920000,85820000,81.05,94,score 7.0; wstETH 8.5*; WETH 9.0*; Aave V3 8.5†; -1.5 leverage 16.89x; yieldz label: Low
ETH,Euler,Monad,wstETH,WETH,16.82,11.8902,2.24,-1.63,Med-High,496000,387070,54.46,94,score 4.0; wstETH 8.5*; WETH 9.0*; Euler 6.5†; -1.5 leverage 16.82x; -1 exit liquidity <1M; yieldz label: Low
ETH,Fluid,Ethereum,ezETH-ETH,wstETH,16.81,6.6906,2.58,-2.32,High,626980,142490000,92.81,94,score 0.5; ezETH-ETH unrated 3.0; wstETH 8.5*; Fluid 8.0†; -1.5 leverage 16.81x; -1 util 93%; -1 exit liquidity <1M; yieldz label: Low
ETH,Fluid,Arbitrum,ezETH-ETH,wstETH,16.6,10.268,2.78,-2.3,High,1000000,12390000,90.3,94,score 1.5; ezETH-ETH unrated 3.0; wstETH 8.5*; Fluid 8.0†; -1.5 leverage 16.6x; yieldz label: Med.
ETH,Euler,Monad,wstETH,WETH,16.5,5.03,2.24,-2.06,Med-High,5100000,696200,88.42,94,score 5.0; wstETH 8.5*; WETH 9.0*; Euler 6.5†; -1.5 leverage 16.5x; yieldz label: Low
ETH,Fluid,Ethereum,ezETH,wstETH,16.49,10.0703,2.79,-2.32,Med-High,130800,142490000,19.91,94,score 5.0; ezETH 7.5*; wstETH 8.5*; Fluid 8.0†; -1.5 leverage 16.49x; -1 exit liquidity <1M; yieldz label: Med.
ETH,Aave V3,Base,weETH,WETH,14.8,3.01,2.32,-2.27,Med-High,23460000,3330000,88.35,93,score 5.5; weETH 7.0; WETH 9.0*; Aave V3 8.5†; -1.5 leverage 14.8x; yieldz label: Low
ETH,Aave V3,Ethereum,wstETH,WETH,14.55,4.95,2.24,-2.04,Med-Low,805400000,513470000,84.34,93,score 7.0; wstETH 8.5*; WETH 9.0*; Aave V3 8.5†; -1.5 leverage 14.55x; yieldz label: Low
ETH,Aave V3,Ethereum,weETH,WETH,14.46,6.0888,2.32,-2.04,Med-High,805400000,513470000,84.34,93,score 5.5; weETH 7.0; WETH 9.0*; Aave V3 8.5†; -1.5 leverage 14.46x; yieldz label: Low
ETH,Aave V3,Arbitrum,weETH,WETH,14.44,7.1584,2.32,-1.96,Med-High,31920000,85820000,81.05,93,score 5.5; weETH 7.0; WETH 9.0*; Aave V3 8.5†; -1.5 leverage 14.44x; yieldz label: Low
ETH,Fluid,Base,wstETH,ETH,14.33,5.4392,2.24,-2,Med-Low,2980000,2240000,89.7,93,score 6.5; wstETH 8.5*; ETH 8.4; Fluid 8.0†; -1.5 leverage 14.33x; yieldz label: Low
ETH,Aave V3,Plasma,weETH,WETH,14.31,27.3428,2.32,-0.44,Med-High,2250000,2030000,16.1,93,score 5.5; weETH 7.0; WETH 9.0*; Aave V3 8.5†; -1.5 leverage 14.31x; yieldz label: Low
ETH,Aave V3,Arbitrum,ezETH,WETH,14.24,13.7792,2.79,-1.96,Med-Low,31920000,85820000,81.05,93,score 6.0; ezETH 7.5*; WETH 9.0*; Aave V3 8.5†; -1.5 leverage 14.24x; yieldz label: Low
ETH,Euler,Monad,weETH,WETH,14.13,5.3399,2.32,-2.09,Med-High,2100000,47920,89.77,93,score 5.0; weETH 7.0; WETH 9.0*; Euler 6.5†; -1.5 leverage 14.13x; yieldz label: Med.
ETH,Fluid,Plasma,weETH,WETH,12.51,14.1753,2.32,-1.29,Med-High,334960,283710,88.89,92,score 4.5; weETH 7.0; WETH 9.0*; Fluid 8.0†; -1.5 leverage 12.51x; -1 exit liquidity <1M; yieldz label: Med.
